department_name,school,harvard_equivalent,ORGANIZATION ID (IPF),PROJECT NUMBER,FUNDING MECHANISM,NIH REFERENCE,PI NAME,PI PERSON ID,PROJECT TITLE,NIH DEPT COMBINING NAME,NIH MC COMBINING NAME,DIRECT COST,INDIRECT COST,FUNDING,CONGRESSIONAL DISTRICT,CITY,STATE OR COUNTRY NAME,ZIP CODE,ATTRIBUTED TO MEDICAL SCHOOL,MEDICAL SCHOOL LOCATION,INSTITUTION TYPE,AWARD NOTICE DATE,FOA
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,3R01DA039168-03S2,RPGs - Non SBIR/STTR,9693365,"BRYANT, CAMRON D",9113546,Bridging genetic variation with behavior: Molecular and functional mechanisms of quantitative trait gene regulation of the stimulant and addictive properties of methamphetamine in mice,PHARMACOLOGY,SCHOOLS OF MEDICINE,15180,1214,16394,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,02.05.18,PA14-014
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5R01DA039168-04,RPGs - Non SBIR/STTR,9506730,"BRYANT, CAMRON D",9113546,Bridging genetic variation with behavior: Molecular and functional mechanisms of quantitative trait gene regulation of the stimulant and addictive properties of methamphetamine in mice,PHARMACOLOGY,SCHOOLS OF MEDICINE,354825,174709,529534,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,11.06.18,PA14-014
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,1F31AG057170-01A1,Training - Individual,9541114,"CLAYTON, KEVIN",14588114,TREM2-TYROBP coupling modulation for the reduction of Alzheimers-mediated neuroinflammation: a novel pharmacologic therapy,PHARMACOLOGY,SCHOOLS OF MEDICINE,44524,NA,44524,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,20.03.18,PA16-308
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,1R21AA026051-01A1,RPGs - Non SBIR/STTR,9529950,"COTTONE, PIETRO",8764362,Determining the role of PACAP neuronal populations in alcohol drinking using PACAP-Cre mice,PHARMACOLOGY,SCHOOLS OF MEDICINE,118750,77040,195790,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,20.04.18,PA16-161
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,1R01CA224432-01A1,RPGs - Non SBIR/STTR,9572041,"CUI, RUTAO",10228903,The MC1R protein palmitoylation in melanoma development,PHARMACOLOGY,SCHOOLS OF MEDICINE,246501,139766,386267,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,19.09.18,PA16-160
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5R01CA193913-03,RPGs - Non SBIR/STTR,9387406,"CUI, RUTAO",10228903,"Molecular connections among UV exposure, red hair, nevi and melanoma",PHARMACOLOGY,SCHOOLS OF MEDICINE,205875,133218,339093,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,21.11.17,PA13-302
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,2T32GM008541-21,Training - Institutional,9358093,"FARB, DAVID H",1881301,Training in Biomolecular Pharmacology,PHARMACOLOGY,SCHOOLS OF MEDICINE,224120,11530,235650,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,12.06.18,PA16-152
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,1R21AG056947-01A1,RPGs - Non SBIR/STTR,9530214,"FARB, DAVID H",1881301,Age-Related Changes in Neural Network Activity and Tau in a rat model of Alzheimers Disease,PHARMACOLOGY,SCHOOLS OF MEDICINE,150000,97313,247313,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,11.04.18,PA16-161
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,1R01CA215059-01A1,RPGs - Non SBIR/STTR,9446113,"FENG, HUI",9197562,The Role of DLST in Leukemogenesis,PHARMACOLOGY,SCHOOLS OF MEDICINE,228750,148687,377437,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,07.08.18,PA16-160
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5U01DE024434-06,RPGs - Non SBIR/STTR,9482411,"FISHER, SHANNON",1876243,Anatomical atlas and transgenic toolkit for late skull formation in zebrafish,PHARMACOLOGY,SCHOOLS OF MEDICINE,591287,145020,633496,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,18.04.18,RFADE14-004
